surface	token_sequence	canonical_relation	relation_components	initial_relation_token_offset	final_adp_token_offset	source	notes
up for	up for	up for	up|for	0	1	TPP|PDEP|WIKTIONARY	source_count=3; source_row_count=3
up front edge of	up front edge of	up front edge of	up|front|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=4.63647112023e-11; ngram_max_frequency=3.16559778391e-10; ngram_nonzero_years=7; ngram_years=2000-2019
up front of	up front of	up front of	up|front|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=5.63383462104e-09; ngram_max_frequency=8.07386435486e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up front part of	up front part of	up front part of	up|front|part|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=7.47707345691e-11; ngram_max_frequency=4.20899953779e-10; ngram_nonzero_years=13; ngram_years=2000-2019
up head of	up head of	up head of	up|head|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.90604492615e-09; ngram_max_frequency=3.22131572111e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up heart of	up heart of	up heart of	up|heart|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.12640276117e-09; ngram_max_frequency=3.15522005745e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up inner side of	up inner side of	up inner side of	up|inner|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.85836832034e-12; ngram_max_frequency=3.71673664068e-11; ngram_nonzero_years=1; ngram_years=2000-2019
up inside of	up inside of	up inside of	up|inside|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.21768783654e-07; ngram_max_frequency=2.03787306217e-07; ngram_nonzero_years=20; ngram_years=2000-2019
up interior of	up interior of	up interior of	up|interior|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.6482800345e-10; ngram_max_frequency=6.57141008276e-10; ngram_nonzero_years=20; ngram_years=2000-2019
up left corner of	up left corner of	up left corner of	up|left|corner|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=5.74583927312e-11; ngram_max_frequency=2.27916907569e-10; ngram_nonzero_years=11; ngram_years=2000-2019
up left edge of	up left edge of	up left edge of	up|left|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=5.57355099573e-11; ngram_max_frequency=2.36619696059e-10; ngram_nonzero_years=10; ngram_years=2000-2019
up left of	up left of	up left of	up|left|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=7.58748655051e-10; ngram_max_frequency=1.80336615085e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up left side of	up left side of	up left side of	up|left|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=4.36020773653e-10; ngram_max_frequency=2.0333346118e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up lower edge of	up lower edge of	up lower edge of	up|lower|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=2.27033754643e-11; ngram_max_frequency=9.18161380259e-11; ngram_nonzero_years=7; ngram_years=2000-2019
up lower half of	up lower half of	up lower half of	up|lower|half|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=2.58969307804e-11; ngram_max_frequency=1.3863646342e-10; ngram_nonzero_years=7; ngram_years=2000-2019
up lower part of	up lower part of	up lower part of	up|lower|part|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=2.72216270358e-11; ngram_max_frequency=1.13790435408e-10; ngram_nonzero_years=9; ngram_years=2000-2019
up margin of	up margin of	up margin of	up|margin|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.92962968815e-10; ngram_max_frequency=2.16387441299e-09; ngram_nonzero_years=17; ngram_years=2000-2019
up middle of	up middle of	up middle of	up|middle|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=5.62666487014e-10; ngram_max_frequency=8.76188011034e-10; ngram_nonzero_years=20; ngram_years=2000-2019
up near end of	up near end of	up near end of	up|near|end|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.72172325008e-11; ngram_max_frequency=1.53054527385e-10; ngram_nonzero_years=5; ngram_years=2000-2019
up on	up on	up on	up|on	0	1	TPP	source_count=1; source_row_count=1
up opening of	up opening of	up opening of	up|opening|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.75759179433e-10; ngram_max_frequency=4.96931551464e-10; ngram_nonzero_years=20; ngram_years=2000-2019
