surface	token_sequence	canonical_relation	relation_components	initial_relation_token_offset	final_adp_token_offset	source	notes
behind lower edge of	behind lower edge of	behind lower edge of	behind|lower|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=3.3649485108e-11; ngram_max_frequency=2.23004198441e-10; ngram_nonzero_years=6; ngram_years=2000-2019
behind lower half of	behind lower half of	behind lower half of	behind|lower|half|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.57833187492e-11; ngram_max_frequency=8.48046285973e-11; ngram_nonzero_years=5; ngram_years=2000-2019
behind lower part of	behind lower part of	behind lower part of	behind|lower|part|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=7.80368840728e-11; ngram_max_frequency=3.34506311539e-10; ngram_nonzero_years=14; ngram_years=2000-2019
behind margin of	behind margin of	behind margin of	behind|margin|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=9.18487881238e-11; ngram_max_frequency=4.93515228683e-10; ngram_nonzero_years=12; ngram_years=2000-2019
behind middle of	behind middle of	behind middle of	behind|middle|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.46111138657e-09; ngram_max_frequency=5.39808708497e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind opening of	behind opening of	behind opening of	behind|opening|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.44900532613e-11; ngram_max_frequency=1.48150228196e-10; ngram_nonzero_years=11; ngram_years=2000-2019
behind outer edge of	behind outer edge of	behind outer edge of	behind|outer|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.8993076209e-12; ngram_max_frequency=3.7986152418e-11; ngram_nonzero_years=1; ngram_years=2000-2019
behind outside of	behind outside of	behind outside of	behind|outside|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.25088916135e-10; ngram_max_frequency=3.80146997214e-10; ngram_nonzero_years=17; ngram_years=2000-2019
behind rear of	behind rear of	behind rear of	behind|rear|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=9.21822044045e-11; ngram_max_frequency=3.79627107527e-10; ngram_nonzero_years=13; ngram_years=2000-2019
behind right of	behind right of	behind right of	behind|right|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.92647455348e-11; ngram_max_frequency=1.89813546825e-10; ngram_nonzero_years=13; ngram_years=2000-2019
behind right side of	behind right side of	behind right side of	behind|right|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=5.70876301093e-11; ngram_max_frequency=3.40726558079e-10; ngram_nonzero_years=11; ngram_years=2000-2019
behind rim of	behind rim of	behind rim of	behind|rim|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.96450981419e-11; ngram_max_frequency=2.25479260263e-10; ngram_nonzero_years=6; ngram_years=2000-2019
behind side of	behind side of	behind side of	behind|side|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=7.00618498981e-11; ngram_max_frequency=2.29258181883e-10; ngram_nonzero_years=14; ngram_years=2000-2019
behind summit of	behind summit of	behind summit of	behind|summit|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=9.37669959039e-12; ngram_max_frequency=8.05353422839e-11; ngram_nonzero_years=3; ngram_years=2000-2019
behind surface of	behind surface of	behind surface of	behind|surface|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.64880586683e-11; ngram_max_frequency=1.44427844684e-10; ngram_nonzero_years=12; ngram_years=2000-2019
behind the apex of	behind the apex of	behind the apex of	behind|the|apex|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=8.22099107019e-10; ngram_max_frequency=1.39075528871e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the back corner of	behind the back corner of	behind the back corner of	behind|the|back|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=9.22332724085e-11; ngram_max_frequency=2.06431816085e-10; ngram_nonzero_years=18; ngram_years=2000-2019
behind the back edge of	behind the back edge of	behind the back edge of	behind|the|back|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=4.12876395572e-10; ngram_max_frequency=7.64618035554e-10; ngram_nonzero_years=20; ngram_years=2000-2019
behind the back of	behind the back of	behind the back of	behind|the|back|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=5.65210584417e-08; ngram_max_frequency=7.76072266728e-08; ngram_nonzero_years=20; ngram_years=2000-2019
behind the back part of	behind the back part of	behind the back part of	behind|the|back|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=9.14794443321e-11; ngram_max_frequency=2.68450373042e-10; ngram_nonzero_years=16; ngram_years=2000-2019
behind the back side of	behind the back side of	behind the back side of	behind|the|back|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.13334253388e-10; ngram_max_frequency=4.12863632171e-10; ngram_nonzero_years=20; ngram_years=2000-2019
behind the background of	behind the background of	behind the background of	behind|the|background|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.86244233177e-10; ngram_max_frequency=5.94677862509e-10; ngram_nonzero_years=20; ngram_years=2000-2019
behind the base of	behind the base of	behind the base of	behind|the|base|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=7.2296314383e-09; ngram_max_frequency=9.2595023593e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the border of	behind the border of	behind the border of	behind|the|border|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.8621193946e-10; ngram_max_frequency=9.10109376751e-10; ngram_nonzero_years=20; ngram_years=2000-2019
behind the bottom of	behind the bottom of	behind the bottom of	behind|the|bottom|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=8.66700891611e-10; ngram_max_frequency=1.38636457869e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the boundary of	behind the boundary of	behind the boundary of	behind|the|boundary|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.10168819795e-10; ngram_max_frequency=6.95377644355e-10; ngram_nonzero_years=20; ngram_years=2000-2019
behind the center of	behind the center of	behind the center of	behind|the|center|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=7.62560190878e-09; ngram_max_frequency=9.75722613816e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the core of	behind the core of	behind the core of	behind|the|core|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.32356227956e-10; ngram_max_frequency=5.73954495042e-10; ngram_nonzero_years=20; ngram_years=2000-2019
behind the corner of	behind the corner of	behind the corner of	behind|the|corner|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.65090941358e-08; ngram_max_frequency=3.89464527295e-08; ngram_nonzero_years=20; ngram_years=2000-2019
behind the crest of	behind the crest of	behind the crest of	behind|the|crest|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=8.11459880817e-09; ngram_max_frequency=1.25571368026e-08; ngram_nonzero_years=20; ngram_years=2000-2019
behind the doorway of	behind the doorway of	behind the doorway of	behind|the|doorway|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.01136391223e-10; ngram_max_frequency=3.95699722988e-10; ngram_nonzero_years=19; ngram_years=2000-2019
behind the edge of	behind the edge of	behind the edge of	behind|the|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=8.62240235721e-09; ngram_max_frequency=1.21797368025e-08; ngram_nonzero_years=20; ngram_years=2000-2019
behind the end of	behind the end of	behind the end of	behind|the|end|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=5.54538547651e-09; ngram_max_frequency=8.59545991327e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the entrance of	behind the entrance of	behind the entrance of	behind|the|entrance|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=5.18966227804e-10; ngram_max_frequency=9.86892567667e-10; ngram_nonzero_years=20; ngram_years=2000-2019
behind the exit of	behind the exit of	behind the exit of	behind|the|exit|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.97222245479e-10; ngram_max_frequency=3.67264552104e-10; ngram_nonzero_years=19; ngram_years=2000-2019
behind the exterior of	behind the exterior of	behind the exterior of	behind|the|exterior|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.38471766361e-10; ngram_max_frequency=1.02535206714e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the face of	behind the face of	behind the face of	behind|the|face|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=7.96686162041e-09; ngram_max_frequency=1.02018224493e-08; ngram_nonzero_years=20; ngram_years=2000-2019
behind the far edge of	behind the far edge of	behind the far edge of	behind|the|far|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.20175587363e-10; ngram_max_frequency=2.92435076155e-10; ngram_nonzero_years=17; ngram_years=2000-2019
behind the far end of	behind the far end of	behind the far end of	behind|the|far|end|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=9.20046971942e-10; ngram_max_frequency=1.62713317819e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the far side of	behind the far side of	behind the far side of	behind|the|far|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.38284560469e-09; ngram_max_frequency=2.10560457958e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the flank of	behind the flank of	behind the flank of	behind|the|flank|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.88250296149e-10; ngram_max_frequency=1.04177755311e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the foot of	behind the foot of	behind the foot of	behind|the|foot|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=8.22167745169e-10; ngram_max_frequency=1.44493705889e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the foreground of	behind the foreground of	behind the foreground of	behind|the|foreground|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=6.0369694313e-10; ngram_max_frequency=1.5225978256e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the front corner of	behind the front corner of	behind the front corner of	behind|the|front|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=5.91252857438e-11; ngram_max_frequency=1.9551646413e-10; ngram_nonzero_years=13; ngram_years=2000-2019
behind the front edge of	behind the front edge of	behind the front edge of	behind|the|front|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=4.13317552406e-10; ngram_max_frequency=7.15867698453e-10; ngram_nonzero_years=20; ngram_years=2000-2019
behind the front of	behind the front of	behind the front of	behind|the|front|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=6.71351052649e-09; ngram_max_frequency=1.2303362551e-08; ngram_nonzero_years=20; ngram_years=2000-2019
behind the front part of	behind the front part of	behind the front part of	behind|the|front|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.55086797571e-10; ngram_max_frequency=4.54149995388e-10; ngram_nonzero_years=18; ngram_years=2000-2019
behind the head of	behind the head of	behind the head of	behind|the|head|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.82941679692e-08; ngram_max_frequency=2.44360156554e-08; ngram_nonzero_years=20; ngram_years=2000-2019
behind the heart of	behind the heart of	behind the heart of	behind|the|heart|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.84633538961e-10; ngram_max_frequency=5.12676012754e-10; ngram_nonzero_years=20; ngram_years=2000-2019
behind the inner edge of	behind the inner edge of	behind the inner edge of	behind|the|inner|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=4.62296851841e-11; ngram_max_frequency=2.75733491595e-10; ngram_nonzero_years=11; ngram_years=2000-2019
behind the inner part of	behind the inner part of	behind the inner part of	behind|the|inner|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.87816963371e-11; ngram_max_frequency=8.98876945099e-11; ngram_nonzero_years=7; ngram_years=2000-2019
behind the inner side of	behind the inner side of	behind the inner side of	behind|the|inner|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.84448555388e-11; ngram_max_frequency=1.18171500363e-10; ngram_nonzero_years=5; ngram_years=2000-2019
behind the inner surface of	behind the inner surface of	behind the inner surface of	behind|the|inner|surface|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=5.03072262667e-11; ngram_max_frequency=1.7977538902e-10; ngram_nonzero_years=10; ngram_years=2000-2019
behind the inside of	behind the inside of	behind the inside of	behind|the|inside|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.87203444481e-10; ngram_max_frequency=1.16198262123e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the interior of	behind the interior of	behind the interior of	behind|the|interior|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.16775612286e-11; ngram_max_frequency=1.13958453785e-10; ngram_nonzero_years=13; ngram_years=2000-2019
behind the left corner of	behind the left corner of	behind the left corner of	behind|the|left|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.08392498796e-10; ngram_max_frequency=3.30290905737e-10; ngram_nonzero_years=16; ngram_years=2000-2019
behind the left edge of	behind the left edge of	behind the left edge of	behind|the|left|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.58807942317e-10; ngram_max_frequency=4.35854574654e-10; ngram_nonzero_years=16; ngram_years=2000-2019
behind the left half of	behind the left half of	behind the left half of	behind|the|left|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.61794609654e-10; ngram_max_frequency=7.43154537908e-10; ngram_nonzero_years=17; ngram_years=2000-2019
behind the left of	behind the left of	behind the left of	behind|the|left|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=5.39673876247e-10; ngram_max_frequency=1.26943733997e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the left part of	behind the left part of	behind the left part of	behind|the|left|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=3.67493488765e-11; ngram_max_frequency=1.67105759785e-10; ngram_nonzero_years=9; ngram_years=2000-2019
behind the left side of	behind the left side of	behind the left side of	behind|the|left|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.31170439233e-09; ngram_max_frequency=1.92171634161e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the lower corner of	behind the lower corner of	behind the lower corner of	behind|the|lower|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=4.52326098452e-11; ngram_max_frequency=2.92435076155e-10; ngram_nonzero_years=9; ngram_years=2000-2019
behind the lower edge of	behind the lower edge of	behind the lower edge of	behind|the|lower|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.44284371256e-10; ngram_max_frequency=2.70163919014e-10; ngram_nonzero_years=20; ngram_years=2000-2019
behind the lower half of	behind the lower half of	behind the lower half of	behind|the|lower|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.83067722266e-10; ngram_max_frequency=5.01732988489e-10; ngram_nonzero_years=20; ngram_years=2000-2019
behind the lower part of	behind the lower part of	behind the lower part of	behind|the|lower|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.5295863345e-09; ngram_max_frequency=2.37127673053e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the margin of	behind the margin of	behind the margin of	behind|the|margin|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.92778571993e-10; ngram_max_frequency=7.63241636559e-10; ngram_nonzero_years=20; ngram_years=2000-2019
behind the middle of	behind the middle of	behind the middle of	behind|the|middle|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.77591434474e-09; ngram_max_frequency=6.36819560973e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the near end of	behind the near end of	behind the near end of	behind|the|near|end|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=5.92602687408e-11; ngram_max_frequency=4.17213624759e-10; ngram_nonzero_years=12; ngram_years=2000-2019
behind the opening of	behind the opening of	behind the opening of	behind|the|opening|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.08225671063e-09; ngram_max_frequency=2.72464881212e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the outer edge of	behind the outer edge of	behind the outer edge of	behind|the|outer|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.40881946907e-10; ngram_max_frequency=2.92435076155e-10; ngram_nonzero_years=19; ngram_years=2000-2019
behind the outer part of	behind the outer part of	behind the outer part of	behind|the|outer|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=4.98716345998e-11; ngram_max_frequency=3.22910614914e-10; ngram_nonzero_years=10; ngram_years=2000-2019
behind the outer side of	behind the outer side of	behind the outer side of	behind|the|outer|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.04976929927e-11; ngram_max_frequency=1.29357247136e-10; ngram_nonzero_years=3; ngram_years=2000-2019
behind the outer surface of	behind the outer surface of	behind the outer surface of	behind|the|outer|surface|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=8.16007367579e-11; ngram_max_frequency=3.5266342624e-10; ngram_nonzero_years=14; ngram_years=2000-2019
behind the outside of	behind the outside of	behind the outside of	behind|the|outside|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.33408695896e-10; ngram_max_frequency=3.62137569931e-10; ngram_nonzero_years=18; ngram_years=2000-2019
behind the peak of	behind the peak of	behind the peak of	behind|the|peak|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.31217840933e-09; ngram_max_frequency=1.93140038685e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the perimeter of	behind the perimeter of	behind the perimeter of	behind|the|perimeter|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.60145291767e-10; ngram_max_frequency=5.48945888745e-10; ngram_nonzero_years=20; ngram_years=2000-2019
behind the periphery of	behind the periphery of	behind the periphery of	behind|the|periphery|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.03699429425e-10; ngram_max_frequency=2.96816210499e-10; ngram_nonzero_years=17; ngram_years=2000-2019
behind the rear of	behind the rear of	behind the rear of	behind|the|rear|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.20479279295e-09; ngram_max_frequency=5.59999945721e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the right corner of	behind the right corner of	behind the right corner of	behind|the|right|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=6.56876041408e-11; ngram_max_frequency=2.06431816085e-10; ngram_nonzero_years=16; ngram_years=2000-2019
behind the right edge of	behind the right edge of	behind the right edge of	behind|the|right|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.2647635543e-10; ngram_max_frequency=2.8017760334e-10; ngram_nonzero_years=18; ngram_years=2000-2019
behind the right half of	behind the right half of	behind the right half of	behind|the|right|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.50059149481e-10; ngram_max_frequency=4.12863632171e-10; ngram_nonzero_years=19; ngram_years=2000-2019
behind the right of	behind the right of	behind the right of	behind|the|right|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.8817170603e-09; ngram_max_frequency=2.88694766357e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the right side of	behind the right side of	behind the right side of	behind|the|right|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.29824669071e-09; ngram_max_frequency=2.39719999406e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the rim of	behind the rim of	behind the rim of	behind|the|rim|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.52517133001e-09; ngram_max_frequency=7.21230583589e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the side of	behind the side of	behind the side of	behind|the|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.02693016329e-09; ngram_max_frequency=5.56056312107e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the summit of	behind the summit of	behind the summit of	behind|the|summit|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=7.54181553667e-10; ngram_max_frequency=1.64683766624e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the surface of	behind the surface of	behind the surface of	behind|the|surface|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=8.75019684071e-09; ngram_max_frequency=1.04390736055e-08; ngram_nonzero_years=20; ngram_years=2000-2019
behind the tip of	behind the tip of	behind the tip of	behind|the|tip|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.67769411921e-09; ngram_max_frequency=5.3174228215e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the top of	behind the top of	behind the top of	behind|the|top|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=6.28507406987e-09; ngram_max_frequency=8.53456139094e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the underside of	behind the underside of	behind the underside of	behind|the|underside|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.95388030944e-11; ngram_max_frequency=3.40726558079e-10; ngram_nonzero_years=8; ngram_years=2000-2019
behind the upper corner of	behind the upper corner of	behind the upper corner of	behind|the|upper|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=3.39632839214e-11; ngram_max_frequency=2.53153942253e-10; ngram_nonzero_years=8; ngram_years=2000-2019
behind the upper edge of	behind the upper edge of	behind the upper edge of	behind|the|upper|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.40904719143e-10; ngram_max_frequency=3.81098069768e-10; ngram_nonzero_years=20; ngram_years=2000-2019
behind the upper half of	behind the upper half of	behind the upper half of	behind|the|upper|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.70229281192e-10; ngram_max_frequency=4.03638261703e-10; ngram_nonzero_years=19; ngram_years=2000-2019
behind the upper part of	behind the upper part of	behind the upper part of	behind|the|upper|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.34686041573e-09; ngram_max_frequency=2.2603742246e-09; ngram_nonzero_years=20; ngram_years=2000-2019
behind the upper side of	behind the upper side of	behind the upper side of	behind|the|upper|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=6.14725352219e-11; ngram_max_frequency=7.83696496587e-10; ngram_nonzero_years=9; ngram_years=2000-2019
